City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
335,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
337,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
342,Umm Lajj,SA,77.85,clear sky,25.0213,37.2685,Moon light Furnished Units
345,Rawson,AR,77.9,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
347,Akyab,MM,76.82,overcast clouds,20.15,92.9,Hotel Memory
348,Buala,SB,80.78,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
349,Port Blair,IN,80.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Port Moresby,PG,75.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
352,Ajdabiya,LY,78.4,overcast clouds,30.7554,20.2263,Almadina Hotel
358,Diego De Almagro,CL,79.75,clear sky,-26.3667,-70.05,hotel luna del desierto
359,Karratha,AU,75.31,clear sky,-20.7377,116.8463,ibis Styles Karratha
361,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
362,Bilma,NE,86.88,clear sky,18.6853,12.9164,Expeditions Ténére voyages
363,Ridgecrest,US,80.46,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
364,Kupang,ID,78.89,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
366,Almenara,BR,82.38,broken clouds,-16.1836,-40.6944,Pousada Estância
371,Vanimo,PG,77.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
377,Duku,NG,81.16,overcast clouds,11.2361,4.9073,
378,Banfora,BF,81.28,broken clouds,10.6333,-4.7667,Residences David Hebié
379,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
382,Tevaitoa,PF,76.93,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
383,Kanniyakumari,IN,79.09,overcast clouds,8.0833,77.5667,Sparsa
384,Thyolo,MW,76.77,clear sky,-16.0678,35.1405,Chawani Bungalow
388,Edd,ER,85.93,few clouds,13.9297,41.6925,
394,Moron,AR,78.03,clear sky,-34.6534,-58.6198,Hotel Morón
405,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
406,Chirongui,YT,80.53,few clouds,-12.9319,45.1483,La Villa Mahatsara
407,Harper,LR,77.79,overcast clouds,4.375,-7.7169,Screensaver
408,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
419,Kokopo,PG,76.6,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
422,Camocim,BR,84.78,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
433,Malindi,KE,77.09,scattered clouds,-3.2175,40.1191,African House Resort
436,Matara,LK,77.23,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
440,Santa Cruz Cabralia,BR,79.03,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
442,Tarakan,ID,78.89,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
445,Omboue,GA,77.65,overcast clouds,-1.5746,9.2618,Hotel Olako
448,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
449,San Luis,AR,81.25,clear sky,-33.295,-66.3356,Huarpes Hotel
462,Doka,SD,83.23,few clouds,13.5167,35.7667,
463,Samarai,PG,80.56,broken clouds,-10.6167,150.6667,Nuli Sapi
468,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
473,Mitsamiouli,KM,79.54,few clouds,-11.3847,43.2844,Foyer ADM
475,Ambon,ID,80.11,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
478,Tual,ID,79.79,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
485,Pizarro,CO,81.73,scattered clouds,4.9533,-77.366,Hotel Limonar
487,Boyuibe,BO,82.24,clear sky,-20.4167,-63.2833,Residencial Eluzai
492,Tshikapa,CD,76.17,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
493,Honiara,SB,79.48,clear sky,-9.4333,159.95,Heritage Park Hotel
