City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
119,Broken Hill,AU,-31.95,141.4333,49.66,48,0,10.36,clear sky
120,Tornio,FI,65.8481,24.1466,32.02,93,100,14.29,light snow
121,Gimli,CA,50.6336,-96.9907,43.43,54,7,9.17,clear sky
122,Maldonado,UY,-34.6667,-54.9167,70.99,52,0,9.53,clear sky
123,Flinders,AU,-34.5833,150.8552,54.18,87,3,1.01,clear sky
124,Ancud,CL,-41.8697,-73.8203,60.42,82,92,16.46,overcast clouds
125,Rondonopolis,BR,-16.4708,-54.6356,71.69,88,100,4.81,overcast clouds
126,Kon Tum,VN,14.35,108.0,68.76,93,100,3.29,overcast clouds
127,Atuona,PF,-9.8,-139.0333,77.99,69,3,17.34,clear sky
128,Tommot,RU,58.9564,126.2925,34.92,84,100,6.42,overcast clouds
129,Ilulissat,GL,69.2167,-51.1,21.22,58,75,17.27,broken clouds
130,Kindu,CD,-2.95,25.95,71.42,99,100,2.06,light rain
131,Chuy,UY,-33.6971,-53.4616,68.29,48,0,11.16,clear sky
132,Chalon-Sur-Saone,FR,46.7833,4.85,47.44,83,0,0.81,clear sky
133,Cascais,PT,38.6979,-9.4215,63.46,62,0,5.01,clear sky
134,Vazhiny,RU,60.9644,34.0222,28.13,82,53,3.02,broken clouds
135,Santa Fe,AR,-31.6333,-60.7,82.0,20,0,8.01,clear sky
136,Yulara,AU,-25.2406,130.9889,61.45,39,0,11.07,clear sky
137,Kaitangata,NZ,-46.2817,169.8464,53.8,85,100,0.25,overcast clouds
138,Yar-Sale,RU,66.8333,70.8333,24.24,77,36,16.33,scattered clouds
139,Upernavik,GL,72.7868,-56.1549,15.64,68,71,8.88,broken clouds
140,Kandrian,PG,-6.2167,149.55,76.03,89,86,3.98,light rain
141,Waipawa,NZ,-41.4122,175.5153,57.45,89,99,7.0,overcast clouds
142,Xiongyue,CN,40.1774,122.1228,50.13,77,1,10.13,clear sky
143,Saint-Philippe,RE,-21.3585,55.7679,72.99,85,43,15.99,scattered clouds
144,Nhulunbuy,AU,-12.2333,136.7667,75.81,83,100,3.44,overcast clouds
145,Jardim,BR,-21.4803,-56.1381,78.48,55,71,9.44,broken clouds
146,Gualeguaychu,AR,-33.0094,-58.5172,80.04,32,0,13.47,clear sky
147,Banepa,NP,27.6298,85.5214,59.32,94,20,3.44,few clouds
148,Saint-Louis,SN,16.3333,-15.0,88.77,46,54,16.06,broken clouds
149,Te Anau,NZ,-45.4167,167.7167,52.65,96,100,0.76,light rain
150,Lamar,US,33.6668,-95.5836,85.66,62,90,20.71,overcast clouds
151,New Norfolk,AU,-42.7826,147.0587,47.91,67,99,1.99,overcast clouds
152,Tougue,GN,11.4667,-11.6,70.05,88,85,1.9,light rain
153,Bluff,NZ,-46.6,168.3333,52.83,94,100,4.34,overcast clouds
154,Talnakh,RU,69.4865,88.3972,25.07,97,100,5.86,light snow
155,Mackay,AU,-21.15,149.2,77.04,76,80,5.61,broken clouds
156,Tasiilaq,GL,65.6145,-37.6368,32.16,88,100,38.99,snow
157,Gambela,ET,8.25,34.5833,80.74,53,78,3.6,broken clouds
158,Haines Junction,CA,60.7522,-137.5108,31.64,76,54,1.07,broken clouds
159,Dabakala,CI,8.3667,-4.4333,76.42,88,100,4.21,light rain
160,Saint-Denis,FR,48.9167,2.3333,53.85,80,0,0.0,clear sky
161,Ust-Nera,RU,64.5667,143.2,7.97,97,99,6.53,overcast clouds
162,Severo-Kurilsk,RU,50.6789,156.125,38.61,76,45,18.54,light rain
163,Hasaki,JP,35.7333,140.8333,48.6,51,34,6.6,scattered clouds
164,Mar Del Plata,AR,-38.0023,-57.5575,69.82,50,0,4.0,clear sky
165,Calama,CL,-22.4667,-68.9333,72.09,9,0,26.46,clear sky
166,Metro,ID,-5.1131,105.3067,75.52,91,68,3.33,broken clouds
167,Katsuura,JP,35.1333,140.3,55.51,62,37,5.48,scattered clouds
168,Saint-Francois,FR,46.4154,3.9054,45.84,93,0,0.0,clear sky
169,Mecca,SA,21.4267,39.8261,81.07,61,1,1.77,clear sky
170,Chokurdakh,RU,70.6333,147.9167,-7.62,99,100,3.04,overcast clouds
171,Vagur,FO,61.4732,-6.8119,49.24,89,100,26.46,overcast clouds
172,Lasa,IT,46.6166,10.7002,40.37,48,49,2.01,scattered clouds
173,Kismayo,SO,-0.3582,42.5454,78.4,86,21,10.89,few clouds
174,Atar,MR,20.5169,-13.0499,88.74,18,57,2.13,broken clouds
175,Quartucciu,IT,39.2519,9.1794,64.99,79,40,5.99,moderate rain
176,Norman Wells,CA,65.282,-126.8329,29.12,87,100,5.32,overcast clouds
177,Naze,JP,28.3667,129.4833,70.14,79,63,12.55,broken clouds
178,Dalianwan,CN,39.0286,121.695,55.72,93,0,0.0,light rain
179,Katesh,TZ,-4.5167,35.3833,69.55,43,27,10.02,scattered clouds
180,Tymovskoye,RU,50.8456,142.655,29.52,92,19,6.49,few clouds
181,Charleston,US,32.7766,-79.9309,81.12,68,1,4.0,clear sky
182,Tutoia,BR,-2.7619,-42.2744,87.78,74,35,13.71,scattered clouds
183,Thompson,CA,55.7435,-97.8558,32.16,86,75,3.44,broken clouds
184,Kawalu,ID,-7.3817,108.2082,73.56,96,96,2.68,overcast clouds
185,Verkhniy Baskunchak,RU,48.2256,46.7217,49.68,41,100,10.4,overcast clouds
186,Lakes Entrance,AU,-37.8811,147.981,49.15,74,77,10.47,broken clouds
187,Port Said,EG,31.2565,32.2841,72.03,68,3,8.41,clear sky
188,Lishu,CN,43.3047,124.3278,44.73,76,1,11.21,clear sky
189,Bilibino,RU,68.0546,166.4372,-18.96,100,94,3.31,overcast clouds
190,Sokoni,TZ,-6.4333,39.55,78.93,77,0,10.49,clear sky
191,Coihaique,CL,-45.5752,-72.0662,48.15,81,90,9.22,heavy intensity rain
192,Sukumo,JP,32.9333,132.7333,58.39,80,100,5.66,moderate rain
193,Pisco,PE,-13.7,-76.2167,68.05,64,0,21.85,clear sky
194,Avera,US,33.194,-82.5271,80.47,34,80,7.07,broken clouds
195,Port Lincoln,AU,-34.7333,135.8667,52.02,76,0,12.75,clear sky
196,Tsogni,GA,-2.7942,10.0988,76.03,92,100,4.21,overcast clouds
197,Monte Patria,CL,-30.6919,-70.9467,87.22,13,0,8.21,clear sky
198,Zhuhai,CN,22.2769,113.5678,69.06,73,20,20.71,light rain
199,Constitucion,CL,-35.3333,-72.4167,63.59,65,4,18.68,clear sky
200,Jumla,NP,29.2747,82.1838,43.83,83,0,4.23,clear sky
201,Loandjili,CG,-4.7561,11.8578,77.83,86,100,6.42,overcast clouds
202,Quatre Cocos,MU,-20.2078,57.7625,74.08,67,80,14.47,broken clouds
203,Najran,SA,17.4924,44.1277,66.36,23,6,2.19,clear sky
204,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,58,75,27.63,dust
205,Navalgund,IN,15.5667,75.3667,71.94,86,65,1.28,broken clouds
206,North Platte,US,41.1239,-100.7654,61.0,59,20,8.99,few clouds
207,Auki,SB,-8.7676,160.7034,78.6,85,22,3.18,few clouds
208,Camana,PE,-16.6228,-72.7111,64.9,72,62,6.51,broken clouds
209,Koslan,RU,63.4564,48.8989,28.83,84,99,8.48,overcast clouds
210,Aksarka,RU,66.5606,67.7975,20.61,88,10,9.35,clear sky
211,Lastoursville,GA,-0.8143,12.7287,73.04,97,16,0.74,light rain
212,Lugovoy,KZ,42.9472,72.7644,44.69,53,0,0.69,clear sky
213,Batagay-Alyta,RU,67.8006,130.4114,4.05,93,100,1.14,overcast clouds
214,Lorengau,PG,-2.0226,147.2712,80.13,82,92,8.12,overcast clouds
215,Qostanay,KZ,53.1667,63.5833,50.92,64,100,9.19,light rain
216,Waw,SS,7.7029,27.9953,81.19,54,20,1.52,few clouds
217,Finschhafen,PG,-6.6024,147.8681,78.49,76,83,6.15,broken clouds
218,Kavieng,PG,-2.5744,150.7967,82.31,75,78,12.37,broken clouds
219,Hammelburg,DE,50.1167,9.9,45.16,77,0,2.95,clear sky
220,Bonavista,CA,48.6499,-53.1147,57.11,90,64,19.24,broken clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,91.62,61,20,10.36,few clouds
222,Shingu,JP,33.7333,135.9833,60.75,92,100,5.3,heavy intensity rain
223,Bartica,GY,6.4,-58.6167,82.72,89,100,4.56,moderate rain
224,Raudeberg,NO,61.9875,5.1352,52.2,93,100,11.99,overcast clouds
225,Pokhara,NP,28.2333,83.9833,59.36,80,0,6.64,clear sky
226,Bon Air,US,37.5249,-77.5578,77.2,54,5,1.01,clear sky
227,Hambantota,LK,6.1241,81.1185,78.87,80,100,6.87,moderate rain
228,Rengo,CL,-34.4167,-70.8667,80.92,25,0,7.56,clear sky
