City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Griffith,US,2021-10-23 16:48:56,41.5284,-87.4237,54.9,54,1,1.99
135,Matara,LK,2021-10-23 16:50:51,5.9485,80.5353,78.64,81,11,8.08
136,Manokwari,ID,2021-10-23 16:50:17,-0.8667,134.0833,76.51,84,37,1.99
137,Nome,US,2021-10-23 16:50:52,64.5011,-165.4064,32.07,70,90,8.05
138,Agadir,MA,2021-10-23 16:49:14,30.4202,-9.5982,73.85,65,0,6.71
139,Coquimbo,CL,2021-10-23 16:50:53,-29.9533,-71.3436,58.73,72,75,9.22
140,Payo,ID,2021-10-23 16:50:53,-3.7508,103.6372,73.45,97,90,2.46
141,Padang,ID,2021-10-23 16:50:53,-0.9492,100.3543,77.05,90,70,3.8
142,Marawi,PH,2021-10-23 16:50:54,7.9986,124.2928,67.64,93,100,3.76
143,Kandrian,PG,2021-10-23 16:50:54,-6.2167,149.55,76.1,90,18,5.28
144,Kilgore,US,2021-10-23 16:50:54,32.3863,-94.8758,79.45,78,75,9.22
145,Khatanga,RU,2021-10-23 16:50:54,71.9667,102.5,11.7,92,100,17.16
146,Beloha,MG,2021-10-23 16:50:55,-25.1667,45.05,72.79,74,13,7.47
147,Quatre Cocos,MU,2021-10-23 16:50:07,-20.2078,57.7625,75.31,79,17,10.33
148,Synya,RU,2021-10-23 16:50:55,65.3718,58.0387,27.28,94,98,7.74
149,Qaanaaq,GL,2021-10-23 16:50:56,77.484,-69.3632,-1.57,58,0,7.85
150,Tautira,PF,2021-10-23 16:50:56,-17.7333,-149.15,75.22,89,100,12.28
151,Lorengau,PG,2021-10-23 16:50:57,-2.0226,147.2712,80.28,81,97,8.39
152,Ancud,CL,2021-10-23 16:50:57,-41.8697,-73.8203,60.42,58,15,10.58
153,Kousseri,CM,2021-10-23 16:50:57,12.0769,15.0306,98.56,16,0,9.22
154,Samarai,PG,2021-10-23 16:50:58,-10.6167,150.6667,80.37,83,98,12.28
155,High Level,CA,2021-10-23 16:50:59,58.5169,-117.136,39.31,93,90,5.75
156,Euskirchen,DE,2021-10-23 16:50:59,50.6667,6.7833,51.71,81,99,5.46
157,Prokopion,GR,2021-10-23 16:51:00,38.7333,23.4833,69.12,82,26,2.95
158,Bloemhof,ZA,2021-10-23 16:51:00,-27.6469,25.607,69.96,14,0,20.11
159,Honningsvag,NO,2021-10-23 16:51:01,70.9821,25.9704,38.43,56,99,21.27
160,Amahai,ID,2021-10-23 16:51:02,-3.3333,128.9167,78.85,85,93,1.83
161,Waingapu,ID,2021-10-23 16:51:03,-9.6567,120.2641,78.84,81,73,1.05
162,East London,ZA,2021-10-23 16:51:03,-33.0153,27.9116,64.67,59,53,26.98
163,Sabaudia,IT,2021-10-23 16:51:03,41.3003,13.0282,68.81,89,100,4.97
164,Jiangyou,CN,2021-10-23 16:51:04,31.7667,104.7167,56.7,82,100,3.02
165,Comodoro Rivadavia,AR,2021-10-23 16:49:29,-45.8667,-67.5,62.46,16,20,20.71
166,Ahipara,NZ,2021-10-23 16:51:04,-35.1667,173.1667,60.21,97,98,1.83
167,Barahona,DO,2021-10-23 16:51:04,18.2085,-71.1008,82.22,83,40,11.5
168,Ilulissat,GL,2021-10-23 16:51:05,69.2167,-51.1,19.83,95,100,0.74
